id,aut,value1,value2,comment
3257:4000,3257,3257,4000,customer route
3257:5000,3257,3257,5000,internal route
3257:6001,3257,3257,6001,temporary dbb class 1 (allocation policy to be defined)
3257:6002,3257,3257,6002,temporary dbb class 2 (allocation policy to be defined)
3257:6003,3257,3257,6003,temporary dbb class 3 (allocation policy to be defined)
3257:6004,3257,3257,6004,temporary dbb class 4 (allocation policy to be defined)
3257:6005,3257,3257,6005,temporary dbb class 5 (allocation policy to be defined)
3257:50001,3257,3257,50001,<region>Europe
3257:50002,3257,3257,50002,<region>US and Canada
3257:50003,3257,3257,50003,<region>Asia
3257:50100,3257,3257,50100,Regions by route miles
3257:50110,3257,3257,50110,<region>central Europe
3257:50111,3257,3257,50111,<region>outer Europe
3257:50120,3257,3257,50120,<geoCode>US|<misc>east coast
3257:50121,3257,3257,50121,<geoCode>US|<misc>west coast
3257:50122,3257,3257,50122,US Canada outer regions
3257:50130,3257,3257,50130,<region>Asia
3257:51100,3257,3257,51100,<geoCode>US|<misc>east coast
3257:51101,3257,3257,51101,<geoCode>NYC
3257:51102,3257,3257,51102,<geoCode>WAS
3257:51103,3257,3257,51103,<geoCode>MIA
3257:51104,3257,3257,51104,<geoCode>ATL
3257:51105,3257,3257,51105,<geoCode>BOS
3257:51106,3257,3257,51106,<geoCode>PHI
3257:51107,3257,3257,51107,<geoCode>CHA
3257:51108,3257,3257,51108,<geoCode>ORL
3257:51200,3257,3257,51200,<geoCode>US|<misc>west coast
3257:51201,3257,3257,51201,<geoCode>SJC
3257:51202,3257,3257,51202,<geoCode>LAX
3257:51203,3257,3257,51203,<geoCode>PAO
3257:51204,3257,3257,51204,<geoCode>SEA
3257:51205,3257,3257,51205,<geoCode>PHX
3257:51206,3257,3257,51206,<geoCode>LAS
3257:51207,3257,3257,51207,<geoCode>SLC
3257:51300,3257,3257,51300,<geoCode>US|<misc>central
3257:51301,3257,3257,51301,<geoCode>CHI
3257:51302,3257,3257,51302,<geoCode>DAL
3257:51303,3257,3257,51303,<geoCode>DEN
3257:51304,3257,3257,51304,<geoCode>STL
3257:51305,3257,3257,51305,<geoCode>MIN
3257:51306,3257,3257,51306,<geoCode>IAH
3257:51400,3257,3257,51400,<country>Canada
3257:51401,3257,3257,51401,<geoCode>TOR
3257:51402,3257,3257,51402,<geoCode>MTL
3257:51403,3257,3257,51403,<geoCode>VAN
3257:53000,3257,3257,53000,<geoCode>GR
3257:53001,3257,3257,53001,<geoCode>ATH
3257:53100,3257,3257,53100,<geoCode>NL
3257:53101,3257,3257,53101,<geoCode>AMS
3257:53200,3257,3257,53200,<geoCode>BE
3257:53201,3257,3257,53201,<geoCode>BRU
3257:53202,3257,3257,53202,<geoCode>ANR
3257:53300,3257,3257,53300,<geoCode>FR
3257:53301,3257,3257,53301,<geoCode>PAR
3257:53302,3257,3257,53302,<geoCode>MRS
3257:53400,3257,3257,53400,<geoCode>ES
3257:53401,3257,3257,53401,<geoCode>MAD
3257:53402,3257,3257,53402,<geoCode>BCN
3257:53520,3257,3257,53520,<geoCode>LU
3257:53530,3257,3257,53530,<geoCode>IE
3257:53531,3257,3257,53531,<geoCode>DUB
3257:53590,3257,3257,53590,<geoCode>BG
3257:53591,3257,3257,53591,<geoCode>SOF
3257:53700,3257,3257,53700,<geoCode>LT
3257:53701,3257,3257,53701,<geoCode>VIL
3257:53900,3257,3257,53900,<geoCode>IT
3257:53901,3257,3257,53901,<geoCode>TRN
3257:53902,3257,3257,53902,<geoCode>MIL
3257:53903,3257,3257,53903,<geoCode>BLQ
3257:53904,3257,3257,53904,<geoCode>ROM
3257:53905,3257,3257,53905,<geoCode>CAG
3257:53906,3257,3257,53906,<geoCode>PSR
3257:53907,3257,3257,53907,<geoCode>FLR
3257:53908,3257,3257,53908,<geoCode>GOA
3257:53909,3257,3257,53909,<geoCode>NAP
3257:53910,3257,3257,53910,<geoCode>PMO
3257:53911,3257,3257,53911,<geoCode>QPA
3257:54000,3257,3257,54000,<geoCode>RO
3257:54001,3257,3257,54001,<geoCode>BUC
3257:54100,3257,3257,54100,<geoCode>CH
3257:54101,3257,3257,54101,<geoCode>ZUR
3257:54102,3257,3257,54102,<geoCode>BSL
3257:54200,3257,3257,54200,<geoCode>CZ
3257:54201,3257,3257,54201,<geoCode>PRG
3257:54210,3257,3257,54210,<geoCode>SK
3257:54211,3257,3257,54211,<geoCode>BTS
3257:54300,3257,3257,54300,<geoCode>AT
3257:54301,3257,3257,54301,<geoCode>VIE
3257:54400,3257,3257,54400,<geoCode>UK
3257:54401,3257,3257,54401,<geoCode>LON
3257:54402,3257,3257,54402,<geoCode>MAN
3257:54500,3257,3257,54500,<geoCode>DK
3257:54501,3257,3257,54501,<geoCode>CPH
3257:54600,3257,3257,54600,<geoCode>SE
3257:54601,3257,3257,54601,<geoCode>STK
3257:54700,3257,3257,54700,<geoCode>NO
3257:54701,3257,3257,54701,<geoCode>OSL
3257:54800,3257,3257,54800,<geoCode>PL
3257:54801,3257,3257,54801,<geoCode>WAW
3257:54900,3257,3257,54900,<geoCode>DE
3257:54901,3257,3257,54901,<geoCode>FRA
3257:54902,3257,3257,54902,<geoCode>DUS
3257:54903,3257,3257,54903,<geoCode>HAM
3257:54904,3257,3257,54904,<geoCode>MUC
3257:54905,3257,3257,54905,<geoCode>BER
3257:56500,3257,3257,56500,<geoCode>SG
3257:56501,3257,3257,56501,<geoCode>SIN
3257:56600,3257,3257,56600,<geoCode>JP
3257:56601,3257,3257,56601,<geoCode>TYO
3257:58520,3257,3257,58520,<geoCode>HK|<country>Hong Kong
3257:58521,3257,3257,58521,<geoCode>HKG
3257:59000,3257,3257,59000,<geoCode>TR
3257:59001,3257,3257,59001,<geoCode>IST
3257:50999,3257,3257,50999,"multi-national prefix (not applicable, legacy)"
65535:65281,3257,65535,65281,NO_EXPORT (RFC1997)
65535:65282,3257,65535,65282,NO_ADVERTISE (RFC1997)
65535:65283,3257,65535,65283,NO_EXPORT_SUBCONFED (RFC1997)
65535:65284,3257,65535,65284,NOPEER (RFC3765)
3257:2590,3257,3257,2590,do not announce in <region>Asia|<misc>(only applies to Asia regional peers)
3257:2990,3257,3257,2990,do not announce in <region>US|<misc>(only applies to US regional peers)
3257:2998,3257,3257,2998,do not announce to <peer|<misc>(legacy)
3257:2291,3257,3257,2291,prepend 1x to peer
3257:2292,3257,3257,2292,prepend 2x to peer
3257:2293,3257,3257,2293,prepend 3x to peer
3257:2492,3257,3257,2492,prepend 2x in <region>Europe|<misc>(only applies to EU regional peers)
3257:2493,3257,3257,2493,prepend 3x in <region>Europe|<misc>(only applies to EU regional peers)
3257:2591,3257,3257,2591,prepend 1x in <region>Asia|<misc>(only applies to Asia regional peers)
3257:2592,3257,3257,2592,prepend 2x in <region>Asia|<misc>(only applies to Asia regional peers)
3257:2593,3257,3257,2593,prepend 3x in <region>Asia|<misc>(only applies to Asia regional peers)
3257:2991,3257,3257,2991,prepend 1x in <region>US|<misc>(only applies to US regional peers)
3257:2992,3257,3257,2992,prepend 2x in <region>US|<misc>(only applies to US regional peers)
3257:2993,3257,3257,2993,prepend 3x in <region>US|<misc>(only applies to US regional peers)
3257:1980,3257,3257,1980,set local preference below customer
3257:1970,3257,3257,1970,set local preference below peer
3257:2666,3257,3257,2666,blackhole
3356:123,3356,3356,123,Customer route
3356:666,3356,3356,666,Peer route
3356:911,3356,3356,911,"""internal use"" communities received from peer city communities (some cities not listed as they home off one of the below)"
3356:2001,3356,3356,2001,<city>Chicago|<geoCode>CHI1
3356:2002,3356,3356,2002,<city>San Diego|<geoCode>SDG1
3356:2003,3356,3356,2003,<city>Los Angeles|<geoCode>LA1x
3356:2004,3356,3356,2004,<city>Denver|<geoCode>DEN1
3356:2005,3356,3356,2005,<city>Philadelphia|<geoCode>PHI1
3356:2006,3356,3356,2006,<city>Washington DC|<geoCode>WDC1
3356:2007,3356,3356,2007,<city>Detroit|<geoCode>DET1
3356:2008,3356,3356,2008,<city>Dallas|<geoCode>DAL1
3356:2009,3356,3356,2009,<city>San Francisco|<geoCode>SFO1
3356:2010,3356,3356,2010,<city>New York City|<geoCode>NYC1
3356:2011,3356,3356,2011,<city>San Jose|<geoCode>SJO1
3356:2012,3356,3356,2012,<city>Seattle|<geoCode>SEA1
3356:2013,3356,3356,2013,<city>Atlanta|<geoCode>ATL1
3356:2014,3356,3356,2014,<city>Houston|<geoCode>HOU1
3356:2015,3356,3356,2015,<city>Boston|<geoCode>BOS1
3356:2016,3356,3356,2016,<city>Minneapolis|<geoCode>MIN1
3356:2017,3356,3356,2017,<city>Honolulu|<geoCode>HON1
3356:2018,3356,3356,2018,<city>Weehawken|<geoCode>WEE1
3356:2019,3356,3356,2019,<city>Baltimore|<geoCode>BAL1
3356:2020,3356,3356,2020,<city>Cincinnati|<geoCode>CIN1
3356:2021,3356,3356,2021,<city>Stamford|<geoCode>STM1
3356:2022,3356,3356,2022,<city>Miami|<geoCode>MIA1
3356:2023,3356,3356,2023,<city>Tampa|<geoCode>TMP1
3356:2024,3356,3356,2024,<city>Orlando|<geoCode>ORL1
3356:2025,3356,3356,2025,<city>St Louis|<geoCode>STL1
3356:2026,3356,3356,2026,<city>Phoenix|<geoCode>PH1x
3356:2027,3356,3356,2027,<city>Richmond|<geoCode>RCH1
3356:2028,3356,3356,2028,<city>Memphis|<geoCode>MEM1
