id	aut	value1	value2	region	norm_region	country	country_code	city	address	source_description
3257:4000	3257	3257	4000							customer route
3257:5000	3257	3257	5000							internal route
3257:6001	3257	3257	6001							temporary dbb class 1 (allocation policy to be defined)
3257:6002	3257	3257	6002							temporary dbb class 2 (allocation policy to be defined)
3257:6003	3257	3257	6003							temporary dbb class 3 (allocation policy to be defined)
3257:6004	3257	3257	6004							temporary dbb class 4 (allocation policy to be defined)
3257:6005	3257	3257	6005							temporary dbb class 5 (allocation policy to be defined)
3257:50001	3257	3257	50001	Europe	Europe					<region>Europe
3257:50002	3257	3257	50002	Us and Canada	North America		840|124			<region>US and Canada
3257:50003	3257	3257	50003	Asia	Asia					<region>Asia
3257:50100	3257	3257	50100							Regions by route miles
3257:50110	3257	3257	50110	central Europe	Europe					<region>central Europe
3257:50111	3257	3257	50111	outer Europe	Europe					<region>outer Europe
3257:50120	3257	3257	50120	US, east coast	North America	US	840			<geoCode>US|<misc>east coast
3257:50121	3257	3257	50121	US, west coast	North America	US	840			<geoCode>US|<misc>west coast
3257:50122	3257	3257	50122	US Canada outer regions	North America		840			US Canada outer regions
3257:50130	3257	3257	50130	Asia	Asia					<region>Asia
3257:51100	3257	3257	51100	US, east coast	North America	US	840			<geoCode>US|<misc>east coast
3257:51101	3257	3257	51101		North America	US		New York City		<geoCode>NYC
3257:51102	3257	3257	51102		North America	US		Washington		<geoCode>WAS
3257:51103	3257	3257	51103		North America	US		Miami		<geoCode>MIA
3257:51104	3257	3257	51104		North America	US		Atlanta		<geoCode>ATL
3257:51105	3257	3257	51105		North America	US		Boston		<geoCode>BOS
3257:51106	3257	3257	51106		North America	US		Philadelphia		<geoCode>PHI
3257:51107	3257	3257	51107		North America	US		Chattanooga		<geoCode>CHA
3257:51108	3257	3257	51108		North America	US		Orlando		<geoCode>ORL
3257:51200	3257	3257	51200	US, west coast	North America	US	840			<geoCode>US|<misc>west coast
3257:51201	3257	3257	51201		North America	US		San Jose		<geoCode>SJC
3257:51202	3257	3257	51202		North America	US		Los Angeles		<geoCode>LAX
3257:51203	3257	3257	51203		North America	US		Palo Alto		<geoCode>PAO
3257:51204	3257	3257	51204		North America	US		Seattle		<geoCode>SEA
3257:51205	3257	3257	51205		North America	US		Phoenix		<geoCode>PHX
3257:51206	3257	3257	51206		North America	US		Las Vegas		<geoCode>LAS
3257:51207	3257	3257	51207		North America	US		Salt Lake City		<geoCode>SLC
3257:51300	3257	3257	51300	US, central	North America	US	840			<geoCode>US|<misc>central
3257:51301	3257	3257	51301		North America	US		Chicago		<geoCode>CHI
3257:51302	3257	3257	51302		North America	US		Dallas		<geoCode>DAL
3257:51303	3257	3257	51303		North America	US		Denver		<geoCode>DEN
3257:51304	3257	3257	51304		North America	US		St Louis		<geoCode>STL
3257:51305	3257	3257	51305		North America	US		Minneapolis		<geoCode>MIN
3257:51306	3257	3257	51306		North America	US		Houston		<geoCode>IAH
3257:51400	3257	3257	51400		North America	Canada	124			<country>Canada
3257:51401	3257	3257	51401		North America	Canada		Toronto		<geoCode>TOR
3257:51402	3257	3257	51402		North America	Canada		Montreal		<geoCode>MTL
3257:51403	3257	3257	51403		North America	Canada		Vancouver		<geoCode>VAN
3257:53000	3257	3257	53000		Europe	Greece	300			<geoCode>GR
3257:53001	3257	3257	53001		Europe	Greece		Athens		<geoCode>ATH
3257:53100	3257	3257	53100		Europe	Netherlands	528			<geoCode>NL
3257:53101	3257	3257	53101		Europe	Netherlands		Amsterdam		<geoCode>AMS
3257:53200	3257	3257	53200		Europe	Belgium	056			<geoCode>BE
3257:53201	3257	3257	53201		Europe	Belgium		Brussels		<geoCode>BRU
3257:53202	3257	3257	53202		Europe	Belgium		Antwerp		<geoCode>ANR
3257:53300	3257	3257	53300		Europe	France	256			<geoCode>FR
3257:53301	3257	3257	53301		Europe	France		Paris		<geoCode>PAR
3257:53302	3257	3257	53302		Europe	France		Marseille		<geoCode>MRS
3257:53400	3257	3257	53400		Europe	Spain	724			<geoCode>ES
3257:53401	3257	3257	53401		Europe	Spain		Madrid		<geoCode>MAD
3257:53402	3257	3257	53402		Europe	Spain		Barcelona		<geoCode>BCN
3257:53520	3257	3257	53520		Europe	Luxembourg	442			<geoCode>LU
3257:53530	3257	3257	53530		Europe	Ireland	372			<geoCode>IE
3257:53531	3257	3257	53531		Europe	Ireland		Dublin		<geoCode>DUB
3257:53590	3257	3257	53590		Europe	Belgium	056			<geoCode>BG
3257:53591	3257	3257	53591		Europe	Bulgaria		Sofia		<geoCode>SOF
3257:53700	3257	3257	53700		Europe	Lituania	440			<geoCode>LT
3257:53701	3257	3257	53701		Europe	Lituania		Vilnius		<geoCode>VIL
3257:53900	3257	3257	53900		Europe	Italy	380			<geoCode>IT
3257:53901	3257	3257	53901		Europe	Italy		Turin		<geoCode>TRN
3257:53902	3257	3257	53902		Europe	Italy		Milan		<geoCode>MIL
3257:53903	3257	3257	53903		Europe	Italy		Bologna		<geoCode>BLQ
3257:53904	3257	3257	53904		Europe	Italy		Roma		<geoCode>ROM
3257:53905	3257	3257	53905		Europe	Italy		Cagliari		<geoCode>CAG
3257:53906	3257	3257	53906		Europe	Italy		Pesaro		<geoCode>PSR
3257:53907	3257	3257	53907		Europe	Italy		Florence		<geoCode>FLR
3257:53908	3257	3257	53908		Europe	Italy		Genoa		<geoCode>GOA
3257:53909	3257	3257	53909		Europe	Italy		Naples		<geoCode>NAP
3257:53910	3257	3257	53910		Europe	Italy		Palermo		<geoCode>PMO
3257:53911	3257	3257	53911		Europe	Italy		Padova		<geoCode>QPA
3257:54000	3257	3257	54000		Europe	Romania	642			<geoCode>RO
3257:54001	3257	3257	54001		Europe	Romania		Bucharest		<geoCode>BUC
3257:54100	3257	3257	54100		Europe	Switzerland	756			<geoCode>CH
3257:54101	3257	3257	54101		Europe	Switzerland		Zurich		<geoCode>ZUR
3257:54102	3257	3257	54102		Europe	Switzerland		Basel		<geoCode>BSL
3257:54200	3257	3257	54200		Europe	Czech Republic	203			<geoCode>CZ
3257:54201	3257	3257	54201		Europe	Czech Republic		Prague		<geoCode>PRG
3257:54210	3257	3257	54210		Europe	Slovakia	703			<geoCode>SK
3257:54211	3257	3257	54211		Europe	Slovakia		Bratislava		<geoCode>BTS
3257:54300	3257	3257	54300		Europe	Austria	040			<geoCode>AT
3257:54301	3257	3257	54301		Europe	Austria		Vienna		<geoCode>VIE
3257:54400	3257	3257	54400		Europe	UK	826			<geoCode>UK
3257:54401	3257	3257	54401		Europe	UK		London		<geoCode>LON
3257:54402	3257	3257	54402		Europe	UK		Manchester		<geoCode>MAN
3257:54500	3257	3257	54500		Europe	Denmark	208			<geoCode>DK
3257:54501	3257	3257	54501		Europe	Denmark		Copenhagen		<geoCode>CPH
3257:54600	3257	3257	54600		Europe	Sweden	752			<geoCode>SE
3257:54601	3257	3257	54601		Europe	Sweden		Stockholm		<geoCode>STK
3257:54700	3257	3257	54700		Europe	Norway	578			<geoCode>NO
3257:54701	3257	3257	54701		Europe	Norway		Oslo		<geoCode>OSL
3257:54800	3257	3257	54800		Europe	Poland	616			<geoCode>PL
3257:54801	3257	3257	54801		Europe	Poland		Warsaw		<geoCode>WAW
3257:54900	3257	3257	54900		Europe	Germany	276			<geoCode>DE
3257:54901	3257	3257	54901		Europe	Germany		Frankfurt		<geoCode>FRA
3257:54902	3257	3257	54902		Europe	Germany		Dusseldorf		<geoCode>DUS
3257:54903	3257	3257	54903		Europe	Germany		Hamburg		<geoCode>HAM
3257:54904	3257	3257	54904		Europe	Germany		Munich		<geoCode>MUC
3257:54905	3257	3257	54905		Europe	Germany		Berlin		<geoCode>BER
3257:56500	3257	3257	56500		Asia	Singapore	702			<geoCode>SG
3257:56501	3257	3257	56501		Asia	Singapore		Singapore		<geoCode>SIN
3257:56600	3257	3257	56600		Asia	Japan	392			<geoCode>JP
3257:56601	3257	3257	56601		Asia	Japan		Tokyo		<geoCode>TYO
3257:58520	3257	3257	58520		Asia	China	344			<geoCode>HK|<country>Hong Kong
3257:58521	3257	3257	58521		Asia	China		Hong Kong		<geoCode>HKG
3257:59000	3257	3257	59000		Asia	Turkey	792			<geoCode>TR
3257:59001	3257	3257	59001		Asia	Turkey		Iskenderun		<geoCode>IST
3257:50999	3257	3257	50999							multi-national prefix (not applicable, legacy)
65535:65281	3257	65535	65281							NO_EXPORT (RFC1997)
65535:65282	3257	65535	65282							NO_ADVERTISE (RFC1997)
65535:65283	3257	65535	65283							NO_EXPORT_SUBCONFED (RFC1997)
65535:65284	3257	65535	65284							NOPEER (RFC3765)
3257:2590	3257	3257	2590							do not announce in <region>Asia|<misc>(only applies to Asia regional peers)
3257:2990	3257	3257	2990							do not announce in <region>US|<misc>(only applies to US regional peers)
3257:2998	3257	3257	2998							do not announce to <peer|<misc>(legacy)
3257:2291	3257	3257	2291							prepend 1x to peer
3257:2292	3257	3257	2292							prepend 2x to peer
3257:2293	3257	3257	2293							prepend 3x to peer
3257:2492	3257	3257	2492							prepend 2x in <region>Europe|<misc>(only applies to EU regional peers)
3257:2493	3257	3257	2493							prepend 3x in <region>Europe|<misc>(only applies to EU regional peers)
3257:2591	3257	3257	2591							prepend 1x in <region>Asia|<misc>(only applies to Asia regional peers)
3257:2592	3257	3257	2592							prepend 2x in <region>Asia|<misc>(only applies to Asia regional peers)
