Status,ASN,Description,Address,IPv4 prefixes,IPv6 prefixes,RRC,Place,IXP
Up,AS1836,GREEN - green.ch AG Autonomous System,146.228.1.3,734453,0,0,Amsterdam,
Up,AS1836,GREEN - green.ch AG Autonomous System,2a01:2a8::3,0,62792,0,Amsterdam,
Up,AS3333,RIPE-NCC-AS - Reseaux IP Europeens Network Coordination Centre (RIPE NCC),193.0.0.56,742541,64880,0,Amsterdam,
Up,AS3549,LVLT-3549 - Level 3 Parent,208.51.134.248,730537,0,0,Amsterdam,
Up,AS4608,APNIC-SERVICES Asia Pacific Network Information Centre,203.119.104.1,761251,0,0,Amsterdam,
Up,AS6881,NIXCZ - NIX.CZ z.s.p.o.,195.47.235.100,758049,0,0,Amsterdam,
Up,AS6881,NIXCZ - NIX.CZ z.s.p.o.,2a02:38::2,0,64665,0,Amsterdam,
Up,AS7018,ATT-INTERNET4 - AT&T Services,12.0.1.63,726710,0,0,Amsterdam,
Up,AS7018,ATT-INTERNET4 - AT&T Services,2001:1890:111d:1::63,0,61904,0,Amsterdam,
Up,AS8758,IWAY - Iway AG,2001:8e0:0:ffff::9,0,27911,0,Amsterdam,
Up,AS8758,IWAY - Iway AG,212.25.27.44,747432,0,0,Amsterdam,
Up,AS15562,SNIJDERS - Job Snijders,165.254.255.2,726202,0,0,Amsterdam,
Up,AS15562,SNIJDERS - Job Snijders,2001:728:1808::2,0,61705,0,Amsterdam,
Up,AS20514,QBRANCH - Axians AB,217.151.205.144,734557,0,0,Amsterdam,
Up,AS20514,QBRANCH - Axians AB,2a03:c300:ffff:ffff:1::1,0,1,0,Amsterdam,
Up,AS22652,FIBRENOIRE-INTERNET - Fibrenoire Inc.,2607:fad8::1:9,0,63190,0,Amsterdam,
Up,AS22652,FIBRENOIRE-INTERNET - Fibrenoire Inc.,45.61.0.85,733391,0,0,Amsterdam,
Up,AS29504,"LBCFREE - Freenet Liberec, z.s.",185.193.84.191,742934,0,0,Amsterdam,
Up,AS29504,"LBCFREE - Freenet Liberec, z.s.",2a0a:3640:0:d::191,0,65238,0,Amsterdam,
Up,AS29608,WAN2MANY-AS - Absolight,2a01:678::2,0,63098,0,Amsterdam,
Up,AS29608,WAN2MANY-AS - Absolight,79.143.241.12,314159,0,0,Amsterdam,
